episode,end_step,steps,training_return,objective_return,fish_eaten,death,time_limit,budget_cutoff,mean_loss,epsilon
0,500,500,1.7607450495022228,0.0,0.0,0.0,1.0,0,0.006404251791536808,0.899912
1,1000,500,11.91253507673958,0.0,0.0,0.0,1.0,0,0.0012527605379582382,0.855912
2,1208,208,-3.0555002163717457,0.0,1.0,1.0,0.0,0,0.0010849509721992945,0.837608
3,1708,500,14.063150940578598,0.0,0.0,0.0,1.0,0,0.005961148641843465,0.793608
4,2208,500,12.236072966322334,5.0,1.0,0.0,1.0,0,0.006449011290183989,0.749608
5,2334,126,-5.968081375190548,-5.0,0.0,1.0,0.0,0,0.005145720096484255,0.7385200000000001
6,2626,292,-3.301385742159002,-5.0,0.0,1.0,0.0,0,0.00844047014475545,0.712824
7,3126,500,-4.414198509136108,0.0,0.0,0.0,1.0,0,0.007253579742216971,0.6688240000000001
8,3617,491,-4.602249046736416,-5.0,0.0,1.0,0.0,0,0.007258429672160516,0.625616
9,4117,500,28.78966170307719,5.0,1.0,0.0,1.0,0,0.00749682216369547,0.581616
10,4617,500,12.550009702106005,0.0,0.0,0.0,1.0,0,0.0074199722643243145,0.5376160000000001
11,5117,500,-8.970036270640074,0.0,0.0,0.0,1.0,0,0.006325697352120187,0.49361600000000005
12,5617,500,14.677035716904385,5.0,1.0,0.0,1.0,0,0.006972373381140642,0.449616
13,5953,336,-2.27981898793733,-5.0,0.0,1.0,0.0,0,0.007358501391969358,0.42004800000000003
14,6453,500,-25.223933343580697,0.0,0.0,0.0,1.0,0,0.0067787250722467435,0.37604799999999994
15,6953,500,8.753649908769763,0.0,0.0,0.0,1.0,0,0.006602653314708732,0.332048
16,7453,500,5.5564898173974795,0.0,0.0,0.0,1.0,0,0.007290743522637058,0.28804799999999997
17,7953,500,42.874097711042644,15.0,3.0,0.0,1.0,0,0.00756171710806666,0.24404800000000004
18,8015,62,-5.874313377562538,-5.0,0.0,1.0,0.0,0,0.010492028718280996,0.23859200000000003
19,8515,500,-1.4250796057475061,0.0,0.0,0.0,1.0,0,0.008880652325809934,0.194592
20,9015,500,23.900429647449755,0.0,0.0,0.0,1.0,0,0.009286131980479695,0.15059199999999995
21,9206,191,-7.538153810987058,-5.0,0.0,1.0,0.0,0,0.00820943930994534,0.13378400000000001
22,9369,163,-3.6595020557731566,-5.0,0.0,1.0,0.0,0,0.008075351225129368,0.11943999999999999
23,9466,97,-10.059385412750093,-5.0,0.0,1.0,0.0,0,0.01114161573134401,0.110904
24,9966,500,9.708812765857159,0.0,0.0,0.0,1.0,0,0.010544194935704581,0.06690400000000007
25,10466,500,5.799371872710587,0.0,0.0,0.0,1.0,0,0.00871926115488168,0.022904000000000035
26,10966,500,19.816161809795457,5.0,1.0,0.0,1.0,0,0.009103621778427624,0.020000000000000018
27,11466,500,25.05992889094899,5.0,1.0,0.0,1.0,0,0.0073199901543557645,0.020000000000000018
28,11966,500,-3.7876019156146294,0.0,0.0,0.0,1.0,0,0.0074788439058465885,0.020000000000000018
29,12453,487,2.2497986609471905,0.0,1.0,1.0,0.0,0,0.008499307172538835,0.020000000000000018
30,12953,500,2.184722650201241,0.0,0.0,0.0,1.0,0,0.009631002934882418,0.020000000000000018
31,13261,308,-8.770059480018926,-5.0,0.0,1.0,0.0,0,0.00787763141701149,0.020000000000000018
32,13761,500,2.4334618188912795,5.0,1.0,0.0,1.0,0,0.009603910689125769,0.020000000000000018
33,13969,208,13.305037228539703,0.0,1.0,1.0,0.0,0,0.008147456574638804,0.020000000000000018
34,14160,191,-8.80884360735801,-5.0,0.0,1.0,0.0,0,0.011555729581089446,0.020000000000000018
35,14660,500,-2.7070891532898878,0.0,0.0,0.0,1.0,0,0.010230021878727711,0.020000000000000018
36,15000,340,11.762610171047811,0.0,0.0,0.0,0.0,1,0.007859273353824392,0.020000000000000018
