episode,eval_env_seed,objective_return,fish_eaten,success_rate,death_rate,episode_length,training_return,time_limit
0,3964924996,5.0,1.0,1.0,0.0,500,-11.841032010730594,1.0
1,901243215,5.0,1.0,1.0,0.0,500,14.66123059615845,1.0
2,3884055042,5.0,1.0,1.0,0.0,500,18.73213233247583,1.0
3,1680122868,5.0,1.0,1.0,0.0,500,11.60695732896793,1.0
4,1735430462,0.0,1.0,1.0,1.0,350,-3.41733928276641,0.0
5,3507651262,0.0,0.0,0.0,0.0,500,0.893635091889109,1.0
6,2628780106,0.0,0.0,0.0,0.0,500,-1.3016518368595882,1.0
7,253989330,-5.0,0.0,0.0,1.0,477,8.728150788836242,0.0
8,1236819798,0.0,0.0,0.0,0.0,500,8.906654034860363,1.0
9,4206527951,-5.0,0.0,0.0,1.0,108,-5.529617181702238,0.0
10,3374987636,5.0,1.0,1.0,0.0,500,18.9341990091727,1.0
11,3121772807,5.0,1.0,1.0,0.0,500,7.145384886341315,1.0
12,2774424488,10.0,2.0,1.0,0.0,500,24.2335400984967,1.0
13,2525707706,5.0,1.0,1.0,0.0,500,0.4024180952187654,1.0
14,3019817973,-5.0,0.0,0.0,1.0,255,0.663263717854826,0.0
15,883346416,0.0,0.0,0.0,0.0,500,3.8144448796427435,1.0
16,3142248894,5.0,1.0,1.0,0.0,500,-2.6094898504121185,1.0
17,4138840400,-5.0,0.0,0.0,1.0,323,-18.192956192343907,0.0
18,2965153134,5.0,1.0,1.0,0.0,500,6.887325654800525,1.0
19,3144531634,5.0,1.0,1.0,0.0,500,11.984248295528179,1.0
20,123767164,5.0,1.0,1.0,0.0,500,18.078321209889637,1.0
21,3103184617,5.0,1.0,1.0,0.0,500,10.274735404029245,1.0
22,863308391,0.0,0.0,0.0,0.0,500,0.9778158185626805,1.0
23,1836552065,10.0,2.0,1.0,0.0,500,28.362911021250813,1.0
24,970837444,0.0,0.0,0.0,0.0,500,9.632049895431434,1.0
25,1650982897,0.0,0.0,0.0,0.0,500,19.691460756927857,1.0
26,3325602063,0.0,0.0,0.0,0.0,500,-6.949797490326243,1.0
27,1953701558,0.0,0.0,0.0,0.0,500,8.14673712339045,1.0
28,1324946030,0.0,0.0,0.0,0.0,500,-35.41446442874475,1.0
29,3694125554,0.0,0.0,0.0,0.0,500,0.6933777038085828,1.0
30,3341987026,-5.0,0.0,0.0,1.0,140,-8.588981707416448,0.0
31,619337180,0.0,0.0,0.0,0.0,500,19.941992312690754,1.0
32,3688901223,0.0,1.0,1.0,1.0,271,0.686517674763552,0.0
33,3379756729,5.0,1.0,1.0,0.0,500,18.717667032782806,1.0
34,2545558809,10.0,2.0,1.0,0.0,500,36.674483727137556,1.0
35,2802296688,5.0,1.0,1.0,0.0,500,18.27399148075993,1.0
36,2028628464,0.0,0.0,0.0,0.0,500,5.584030728155268,1.0
37,4166316041,5.0,1.0,1.0,0.0,500,20.188801215081885,1.0
38,1390159955,0.0,0.0,0.0,0.0,500,11.136540099617273,1.0
39,1284878734,-5.0,0.0,0.0,1.0,258,-4.097605193483685,0.0
40,1393523483,0.0,0.0,0.0,0.0,500,-0.23266187763393167,1.0
41,3659499957,5.0,1.0,1.0,0.0,500,9.151873545443197,1.0
42,3352027439,5.0,1.0,1.0,0.0,500,14.853580192281525,1.0
43,2652832585,0.0,0.0,0.0,0.0,500,-3.518719854111756,1.0
44,260563285,0.0,0.0,0.0,0.0,500,3.0763957314604427,1.0
45,3660625987,0.0,1.0,1.0,1.0,377,-1.468225202242841,0.0
46,1246593101,0.0,0.0,0.0,0.0,500,13.014142054909826,1.0
47,4078194285,0.0,0.0,0.0,0.0,500,-4.110133607126454,1.0
48,1122878939,0.0,0.0,0.0,0.0,500,15.9720040748294,1.0
49,2266485568,5.0,1.0,1.0,0.0,500,13.049869842853676,1.0
