episode,end_step,steps,training_return,objective_return,fish_eaten,death,time_limit,budget_cutoff,mean_loss,epsilon
0,500,500,0.0,0.0,0.0,0.0,1.0,0,0.004378628917038441,0.899912
1,1000,500,0.0,0.0,0.0,0.0,1.0,0,0.0007781972890988981,0.855912
2,1500,500,0.0,0.0,0.0,0.0,1.0,0,5.241376176854829e-05,0.811912
3,1932,432,0.0,0.0,1.0,1.0,0.0,0,2.50671702480708e-05,0.773896
4,2432,500,10.0,10.0,2.0,0.0,1.0,0,0.00719274842078994,0.729896
5,2932,500,0.0,0.0,0.0,0.0,1.0,0,0.007390390682499855,0.6858960000000001
6,3432,500,0.0,0.0,0.0,0.0,1.0,0,0.004473493650781165,0.641896
7,3932,500,5.0,5.0,1.0,0.0,1.0,0,0.006372421316893451,0.597896
8,4432,500,0.0,0.0,0.0,0.0,1.0,0,0.004694320630220318,0.553896
9,4543,111,0.0,0.0,1.0,1.0,0.0,0,0.005128781804471457,0.5441280000000001
10,5043,500,0.0,0.0,0.0,0.0,1.0,0,0.006842303438927047,0.500128
11,5543,500,0.0,0.0,0.0,0.0,1.0,0,0.005766543397679925,0.45612800000000003
12,6043,500,0.0,0.0,0.0,0.0,1.0,0,0.006811698517929472,0.412128
13,6543,500,0.0,0.0,0.0,0.0,1.0,0,0.0037480280333402334,0.368128
14,7043,500,0.0,0.0,0.0,0.0,1.0,0,0.004816011842543958,0.3241280000000001
15,7543,500,0.0,0.0,0.0,0.0,1.0,0,0.004266862328353454,0.28012800000000004
16,8043,500,5.0,5.0,1.0,0.0,1.0,0,0.005061003838432953,0.236128
17,8164,121,-5.0,-5.0,0.0,1.0,0.0,0,0.0018341014096342615,0.22548
18,8360,196,-5.0,-5.0,0.0,1.0,0.0,0,0.004184936278223325,0.20823199999999997
19,8427,67,-5.0,-5.0,0.0,1.0,0.0,0,0.005147565597448491,0.20233600000000007
20,8927,500,10.0,10.0,2.0,0.0,1.0,0,0.007126415507489582,0.15833600000000003
21,9062,135,-5.0,-5.0,0.0,1.0,0.0,0,0.005546371038158045,0.14645600000000003
22,9562,500,0.0,0.0,0.0,0.0,1.0,0,0.006830836542096222,0.10245599999999999
23,10062,500,5.0,5.0,1.0,0.0,1.0,0,0.007144134017085889,0.05845599999999995
24,10562,500,0.0,0.0,0.0,0.0,1.0,0,0.0060187542092899095,0.020000000000000018
25,11062,500,5.0,5.0,1.0,0.0,1.0,0,0.0049758554426007325,0.020000000000000018
26,11562,500,5.0,5.0,1.0,0.0,1.0,0,0.0062902932743891145,0.020000000000000018
27,12062,500,0.0,0.0,0.0,0.0,1.0,0,0.006095184831166989,0.020000000000000018
28,12437,375,-5.0,-5.0,0.0,1.0,0.0,0,0.007249773959532225,0.020000000000000018
29,12937,500,0.0,0.0,0.0,0.0,1.0,0,0.0068770358304609544,0.020000000000000018
30,13437,500,0.0,0.0,0.0,0.0,1.0,0,0.005410184777691029,0.020000000000000018
31,13538,101,-5.0,-5.0,0.0,1.0,0.0,0,0.010945333729816214,0.020000000000000018
32,13695,157,0.0,0.0,1.0,1.0,0.0,0,0.006536845458479774,0.020000000000000018
33,14190,495,-5.0,-5.0,0.0,1.0,0.0,0,0.008658422954569246,0.020000000000000018
34,14690,500,0.0,0.0,0.0,0.0,1.0,0,0.006398250169229868,0.020000000000000018
35,15000,310,0.0,0.0,0.0,0.0,0.0,1,0.007367949572677213,0.020000000000000018
