episode,eval_env_seed,objective_return,fish_eaten,success_rate,death_rate,episode_length,training_return,time_limit
0,3964924996,0.0,0.0,0.0,0.0,500,0.0,1.0
1,901243215,0.0,0.0,0.0,0.0,500,0.0,1.0
2,3884055042,0.0,0.0,0.0,0.0,500,0.0,1.0
3,1680122868,0.0,0.0,0.0,0.0,500,0.0,1.0
4,1735430462,0.0,0.0,0.0,0.0,500,0.0,1.0
5,3507651262,0.0,0.0,0.0,0.0,500,0.0,1.0
6,2628780106,0.0,0.0,0.0,0.0,500,0.0,1.0
7,253989330,0.0,0.0,0.0,0.0,500,0.0,1.0
8,1236819798,0.0,0.0,0.0,0.0,500,0.0,1.0
9,4206527951,5.0,1.0,1.0,0.0,500,5.0,1.0
10,3374987636,0.0,0.0,0.0,0.0,500,0.0,1.0
11,3121772807,0.0,0.0,0.0,0.0,500,0.0,1.0
12,2774424488,5.0,1.0,1.0,0.0,500,5.0,1.0
13,2525707706,0.0,0.0,0.0,0.0,500,0.0,1.0
14,3019817973,-5.0,0.0,0.0,1.0,446,-5.0,0.0
15,883346416,-5.0,0.0,0.0,1.0,253,-5.0,0.0
16,3142248894,0.0,0.0,0.0,0.0,500,0.0,1.0
17,4138840400,-5.0,0.0,0.0,1.0,328,-5.0,0.0
18,2965153134,0.0,0.0,0.0,0.0,500,0.0,1.0
19,3144531634,0.0,0.0,0.0,0.0,500,0.0,1.0
20,123767164,-5.0,0.0,0.0,1.0,439,-5.0,0.0
21,3103184617,10.0,2.0,1.0,0.0,500,10.0,1.0
22,863308391,0.0,0.0,0.0,0.0,500,0.0,1.0
23,1836552065,5.0,1.0,1.0,0.0,500,5.0,1.0
24,970837444,0.0,0.0,0.0,0.0,500,0.0,1.0
25,1650982897,10.0,2.0,1.0,0.0,500,10.0,1.0
26,3325602063,10.0,2.0,1.0,0.0,500,10.0,1.0
27,1953701558,10.0,2.0,1.0,0.0,500,10.0,1.0
28,1324946030,0.0,0.0,0.0,0.0,500,0.0,1.0
29,3694125554,-5.0,0.0,0.0,1.0,66,-5.0,0.0
30,3341987026,0.0,0.0,0.0,0.0,500,0.0,1.0
31,619337180,0.0,0.0,0.0,0.0,500,0.0,1.0
32,3688901223,0.0,0.0,0.0,0.0,500,0.0,1.0
33,3379756729,-5.0,0.0,0.0,1.0,431,-5.0,0.0
34,2545558809,5.0,1.0,1.0,0.0,500,5.0,1.0
35,2802296688,5.0,1.0,1.0,0.0,500,5.0,1.0
36,2028628464,0.0,0.0,0.0,0.0,500,0.0,1.0
37,4166316041,5.0,1.0,1.0,0.0,500,5.0,1.0
38,1390159955,-5.0,0.0,0.0,1.0,165,-5.0,0.0
39,1284878734,0.0,0.0,0.0,0.0,500,0.0,1.0
40,1393523483,0.0,0.0,0.0,0.0,500,0.0,1.0
41,3659499957,5.0,1.0,1.0,0.0,500,5.0,1.0
42,3352027439,-5.0,0.0,0.0,1.0,150,-5.0,0.0
43,2652832585,0.0,1.0,1.0,1.0,402,0.0,0.0
44,260563285,0.0,0.0,0.0,0.0,500,0.0,1.0
45,3660625987,-5.0,0.0,0.0,1.0,101,-5.0,0.0
46,1246593101,-5.0,0.0,0.0,1.0,474,-5.0,0.0
47,4078194285,5.0,1.0,1.0,0.0,500,5.0,1.0
48,1122878939,10.0,2.0,1.0,0.0,500,10.0,1.0
49,2266485568,10.0,2.0,1.0,0.0,500,10.0,1.0
