episode,eval_env_seed,objective_return,fish_eaten,success_rate,death_rate,episode_length,training_return,time_limit
0,1189033389,10.0,2.0,1.0,0.0,500,10.0,1.0
1,1639030180,5.0,1.0,1.0,0.0,500,5.0,1.0
2,3005640382,-5.0,0.0,0.0,1.0,155,-5.0,0.0
3,939475935,5.0,1.0,1.0,0.0,500,5.0,1.0
4,1984606777,-5.0,0.0,0.0,1.0,166,-5.0,0.0
5,742229531,10.0,2.0,1.0,0.0,500,10.0,1.0
6,81123551,-5.0,0.0,0.0,1.0,201,-5.0,0.0
7,706327611,0.0,0.0,0.0,0.0,500,0.0,1.0
8,1258465162,5.0,1.0,1.0,0.0,500,5.0,1.0
9,3930499038,5.0,1.0,1.0,0.0,500,5.0,1.0
10,1545592727,-5.0,0.0,0.0,1.0,183,-5.0,0.0
11,1666669218,0.0,0.0,0.0,0.0,500,0.0,1.0
12,3074386683,0.0,0.0,0.0,0.0,500,0.0,1.0
13,1811204608,0.0,1.0,1.0,1.0,216,0.0,0.0
14,1539034865,-5.0,0.0,0.0,1.0,110,-5.0,0.0
15,2733823799,0.0,1.0,1.0,1.0,151,0.0,0.0
16,2449560588,5.0,1.0,1.0,0.0,500,5.0,1.0
17,4286508491,5.0,1.0,1.0,0.0,500,5.0,1.0
18,2458248346,-5.0,0.0,0.0,1.0,147,-5.0,0.0
19,1620665087,-5.0,0.0,0.0,1.0,152,-5.0,0.0
20,1594540852,0.0,0.0,0.0,0.0,500,0.0,1.0
21,3595294037,0.0,0.0,0.0,0.0,500,0.0,1.0
22,1939378637,-5.0,0.0,0.0,1.0,185,-5.0,0.0
23,2192155034,0.0,0.0,0.0,0.0,500,0.0,1.0
24,1246709789,5.0,1.0,1.0,0.0,500,5.0,1.0
25,2888424360,0.0,0.0,0.0,0.0,500,0.0,1.0
26,479006231,0.0,0.0,0.0,0.0,500,0.0,1.0
27,1569573189,0.0,0.0,0.0,0.0,500,0.0,1.0
28,1641297886,0.0,0.0,0.0,0.0,500,0.0,1.0
29,3459203923,0.0,0.0,0.0,0.0,500,0.0,1.0
30,1484099884,0.0,0.0,0.0,0.0,500,0.0,1.0
31,4091723856,0.0,0.0,0.0,0.0,500,0.0,1.0
32,2123492900,-5.0,0.0,0.0,1.0,121,-5.0,0.0
33,4217365653,0.0,1.0,1.0,1.0,181,0.0,0.0
34,3803767847,-5.0,0.0,0.0,1.0,482,-5.0,0.0
35,4100219838,0.0,0.0,0.0,0.0,500,0.0,1.0
36,3328463484,-5.0,0.0,0.0,1.0,145,-5.0,0.0
37,2792094005,0.0,0.0,0.0,0.0,500,0.0,1.0
38,2826154839,0.0,0.0,0.0,0.0,500,0.0,1.0
39,343165928,0.0,0.0,0.0,0.0,500,0.0,1.0
40,2088638695,0.0,1.0,1.0,1.0,238,0.0,0.0
41,1754753333,0.0,0.0,0.0,0.0,500,0.0,1.0
42,702906607,-5.0,0.0,0.0,1.0,177,-5.0,0.0
43,2003130368,0.0,0.0,0.0,0.0,500,0.0,1.0
44,846558820,0.0,1.0,1.0,1.0,137,0.0,0.0
45,4204122003,0.0,0.0,0.0,0.0,500,0.0,1.0
46,2102969800,0.0,0.0,0.0,0.0,500,0.0,1.0
47,1727477033,-5.0,0.0,0.0,1.0,469,-5.0,0.0
48,3403734155,-5.0,0.0,0.0,1.0,120,-5.0,0.0
49,2208205223,0.0,0.0,0.0,0.0,500,0.0,1.0
