episode,end_step,steps,training_return,objective_return,fish_eaten,death,time_limit,budget_cutoff,mean_loss,epsilon
0,176,176,-6.134038927900935,-5.0,0.0,1.0,0.0,0,,0.9
1,676,500,24.81004997699096,5.0,1.0,0.0,1.0,0,0.01977759226762011,0.884424
2,1135,459,1.9402059739015307,-5.0,0.0,1.0,0.0,0,0.009835589027078163,0.844032
3,1635,500,27.462373693698993,5.0,1.0,0.0,1.0,0,0.012605015756344073,0.8000320000000001
4,2135,500,19.936844162473985,0.0,0.0,0.0,1.0,0,0.007554830718378071,0.756032
5,2327,192,2.8960031774287467,0.0,1.0,1.0,0.0,0,0.011985541743456452,0.739136
6,2827,500,21.74539450811766,0.0,0.0,0.0,1.0,0,0.010945391377987107,0.695136
7,3327,500,21.492903695768593,5.0,1.0,0.0,1.0,0,0.007859883394790813,0.651136
8,3827,500,0.36140597600560265,5.0,1.0,0.0,1.0,0,0.008735673152696109,0.607136
9,4327,500,20.39329245715738,0.0,0.0,0.0,1.0,0,0.00796769388768007,0.5631360000000001
10,4827,500,-15.296074179564707,0.0,0.0,0.0,1.0,0,0.009419006379845087,0.519136
11,5327,500,-1.3057979985527495,0.0,0.0,0.0,1.0,0,0.008718408612010535,0.475136
12,5827,500,11.96473960720596,0.0,0.0,0.0,1.0,0,0.007537454839388375,0.43113599999999996
13,6327,500,20.576582812229013,5.0,1.0,0.0,1.0,0,0.007423474962532054,0.38713600000000004
14,6554,227,-11.709130812475312,-5.0,0.0,1.0,0.0,0,0.010089774624011704,0.36715999999999993
15,7054,500,-0.8063884264974951,0.0,0.0,0.0,1.0,0,0.006601945659320336,0.32316
16,7554,500,5.6304357734640815,0.0,0.0,0.0,1.0,0,0.006642482379218564,0.27915999999999996
17,8054,500,-1.5823945840813924,0.0,0.0,0.0,1.0,0,0.004845805970195215,0.23516000000000004
18,8377,323,6.871653365912071,0.0,1.0,1.0,0.0,0,0.007088531303091909,0.20673600000000003
19,8703,326,-17.428785506760647,-5.0,0.0,1.0,0.0,0,0.005927674288513636,0.17804799999999998
20,9203,500,5.85210199070947,0.0,0.0,0.0,1.0,0,0.00685088920488488,0.13404800000000006
21,9365,162,-7.714924033122031,-5.0,0.0,1.0,0.0,0,0.007421372698535165,0.11979200000000001
22,9603,238,-1.896568996505033,-5.0,0.0,1.0,0.0,0,0.009407433264565012,0.09884800000000005
23,10103,500,7.356078884695479,0.0,0.0,0.0,1.0,0,0.008114145164960064,0.05484800000000001
24,10603,500,10.776443549598678,0.0,0.0,0.0,1.0,0,0.006048052397032734,0.020000000000000018
25,11103,500,10.863540237983011,0.0,0.0,0.0,1.0,0,0.006428328216366935,0.020000000000000018
26,11603,500,18.635093574662193,10.0,2.0,0.0,1.0,0,0.008168145097210072,0.020000000000000018
27,12103,500,23.974657000655146,0.0,0.0,0.0,1.0,0,0.007228093736048322,0.020000000000000018
28,12603,500,14.374673366743432,0.0,0.0,0.0,1.0,0,0.006515793226542882,0.020000000000000018
29,13103,500,10.879268583800586,0.0,0.0,0.0,1.0,0,0.006635691385599785,0.020000000000000018
30,13415,312,-25.292184776597395,0.0,1.0,1.0,0.0,0,0.005268843560490775,0.020000000000000018
31,13471,56,-6.970368977284994,-5.0,0.0,1.0,0.0,0,0.006248139434319455,0.020000000000000018
32,13629,158,-5.415082123516266,-5.0,0.0,1.0,0.0,0,0.0067003089253042086,0.020000000000000018
33,14129,500,15.81218665758903,0.0,0.0,0.0,1.0,0,0.006038433578563854,0.020000000000000018
34,14629,500,-15.188155604734494,0.0,0.0,0.0,1.0,0,0.008621391309658066,0.020000000000000018
35,15000,371,7.763127791873473,0.0,0.0,0.0,0.0,1,0.007221321869206005,0.020000000000000018
