episode,eval_env_seed,objective_return,fish_eaten,success_rate,death_rate,episode_length,training_return,time_limit
0,307626447,0.0,0.0,0.0,0.0,500,-5.219210129337451,1.0
1,959653083,-5.0,0.0,0.0,1.0,130,-6.563716771479385,0.0
2,2946223120,-5.0,0.0,0.0,1.0,329,-16.32624921051554,0.0
3,1539688509,10.0,2.0,1.0,0.0,500,24.079976134547852,1.0
4,651783613,-5.0,0.0,0.0,1.0,240,-12.521427204459027,0.0
5,4154266724,0.0,0.0,0.0,0.0,500,-0.5661377039045649,1.0
6,2100221059,-5.0,0.0,0.0,1.0,387,-3.240561011254915,0.0
7,2796731723,5.0,1.0,1.0,0.0,500,17.41300573604053,1.0
8,1701458327,0.0,1.0,1.0,1.0,398,19.405702539619046,0.0
9,1068537334,0.0,0.0,0.0,0.0,500,0.6383021104855335,1.0
10,3045764740,-5.0,0.0,0.0,1.0,118,-6.3230617418403945,0.0
11,143678244,5.0,1.0,1.0,0.0,500,8.712641015387629,1.0
12,2928152969,0.0,0.0,0.0,0.0,500,-34.313109977052946,1.0
13,3416123359,0.0,1.0,1.0,1.0,452,8.296162333109878,0.0
14,1539616186,5.0,1.0,1.0,0.0,500,8.710618207381954,1.0
15,2139239430,0.0,0.0,0.0,0.0,500,15.388083184446671,1.0
16,4214099927,0.0,0.0,0.0,0.0,500,33.01647059342239,1.0
17,2903756133,5.0,1.0,1.0,0.0,500,4.444985876410713,1.0
18,867065223,0.0,1.0,1.0,1.0,385,12.60877827970268,0.0
19,907290535,5.0,2.0,1.0,1.0,330,18.1217009882739,0.0
20,851570294,0.0,0.0,0.0,0.0,500,-16.348164461569635,1.0
21,994517966,-5.0,0.0,0.0,1.0,281,-4.128918558900193,0.0
22,424770802,0.0,0.0,0.0,0.0,500,9.973804227342812,1.0
23,2127208881,-5.0,0.0,0.0,1.0,306,-11.983920665700087,0.0
24,1064453005,0.0,0.0,0.0,0.0,500,23.68168209182104,1.0
25,1166063816,-5.0,0.0,0.0,1.0,144,-6.085863721792442,0.0
26,2846592585,-5.0,0.0,0.0,1.0,197,-10.797045754553725,0.0
27,147946070,0.0,1.0,1.0,1.0,292,10.033714177452255,0.0
28,2033366849,0.0,0.0,0.0,0.0,500,11.405670582845296,1.0
29,3042208708,0.0,0.0,0.0,0.0,500,14.090546808768256,1.0
30,4163856881,5.0,2.0,1.0,1.0,447,7.7629739635232635,0.0
31,3423853344,-5.0,0.0,0.0,1.0,275,0.8721215078396796,0.0
32,420994573,-5.0,0.0,0.0,1.0,171,-4.381796748618447,0.0
33,982707012,-5.0,0.0,0.0,1.0,416,-5.5641309645767345,0.0
34,2550516536,-5.0,0.0,0.0,1.0,223,-15.913451856833591,0.0
35,775994020,-5.0,0.0,0.0,1.0,328,-15.164142378522014,0.0
36,560712679,0.0,0.0,0.0,0.0,500,12.669946030808594,1.0
37,1454619118,-5.0,0.0,0.0,1.0,288,2.869662298116956,0.0
38,2140534406,-5.0,0.0,0.0,1.0,129,-9.570897684049992,0.0
39,4197442676,5.0,2.0,1.0,1.0,270,21.815725132413625,0.0
40,298656698,-5.0,0.0,0.0,1.0,195,-6.025818480006258,0.0
41,3826704903,5.0,1.0,1.0,0.0,500,19.335542240824324,1.0
42,825260201,0.0,0.0,0.0,0.0,500,2.279067123382923,1.0
43,1974627105,0.0,0.0,0.0,0.0,500,11.312090018488663,1.0
44,3962368100,0.0,0.0,0.0,0.0,500,26.470324697404568,1.0
45,3810720427,0.0,0.0,0.0,0.0,500,32.08253502958645,1.0
46,4000810462,5.0,1.0,1.0,0.0,500,20.506078232785942,1.0
47,3194796222,0.0,0.0,0.0,0.0,500,-23.379982828220765,1.0
48,2731115190,0.0,0.0,0.0,0.0,500,-1.6619768962635832,1.0
49,472895482,-5.0,0.0,0.0,1.0,169,-7.104875631466029,0.0
