method,n_seeds,objective_return_mean,objective_return_std,fish_eaten_mean,fish_eaten_std,success_rate_mean,success_rate_std,death_rate_mean,death_rate_std
dqn_full,3,0.1333333333333334,1.4433756729740645,0.3666666666666667,0.17009801096230767,0.32,0.14422205101855956,0.34,0.16
dqn_sparse,3,0.2333333333333333,0.6806859285554046,0.32666666666666666,0.11372481406154653,0.26,0.06928203230275509,0.27999999999999997,0.07211102550927978
random,3,0.3,0.6000000000000001,0.42,0.0916515138991168,0.34,0.06,0.36000000000000004,0.034641016151377546
