episode,end_step,steps,training_return,objective_return,fish_eaten,death,time_limit,budget_cutoff,mean_loss,epsilon
0,500,500,0.0,0.0,0.0,0.0,1.0,0,0.0018254801398143172,0.899912
1,698,198,-5.0,-5.0,0.0,1.0,0.0,0,0.0003940239207668587,0.882488
2,887,189,-5.0,-5.0,0.0,1.0,0.0,0,0.00463699327023249,0.8658560000000001
3,1069,182,-5.0,-5.0,0.0,1.0,0.0,0,0.008009774572941011,0.84984
4,1569,500,0.0,0.0,0.0,0.0,1.0,0,0.007968729259206157,0.80584
5,1829,260,0.0,0.0,1.0,1.0,0.0,0,0.0081932409273437,0.78296
6,2329,500,0.0,0.0,0.0,0.0,1.0,0,0.011765271946431313,0.7389600000000001
7,2829,500,0.0,0.0,0.0,0.0,1.0,0,0.009130101740393002,0.69496
8,3329,500,5.0,5.0,1.0,0.0,1.0,0,0.007104240152420971,0.65096
9,3829,500,5.0,5.0,1.0,0.0,1.0,0,0.009435303492849925,0.6069599999999999
10,4329,500,0.0,0.0,0.0,0.0,1.0,0,0.007814750169709441,0.56296
11,4829,500,5.0,5.0,1.0,0.0,1.0,0,0.007010136018849152,0.5189600000000001
12,5329,500,0.0,0.0,0.0,0.0,1.0,0,0.004552871670599415,0.47496000000000005
13,5829,500,0.0,0.0,0.0,0.0,1.0,0,0.006055648471428868,0.43096
14,6329,500,0.0,0.0,0.0,0.0,1.0,0,0.00523358407768319,0.3869600000000001
15,6829,500,5.0,5.0,1.0,0.0,1.0,0,0.004797859162890745,0.34296000000000004
16,7005,176,-5.0,-5.0,0.0,1.0,0.0,0,0.007424067758103609,0.3274720000000001
17,7140,135,-5.0,-5.0,0.0,1.0,0.0,0,0.0050511219925047715,0.315592
18,7510,370,-5.0,-5.0,0.0,1.0,0.0,0,0.006399371248585954,0.28303200000000006
19,8010,500,0.0,0.0,0.0,0.0,1.0,0,0.007881101292114182,0.23903200000000002
20,8510,500,0.0,0.0,0.0,0.0,1.0,0,0.006478491134890646,0.19503199999999998
21,9010,500,0.0,0.0,0.0,0.0,1.0,0,0.005321416118986236,0.15103200000000006
22,9510,500,0.0,0.0,0.0,0.0,1.0,0,0.004394648080244224,0.10703200000000002
23,10010,500,0.0,0.0,0.0,0.0,1.0,0,0.004429875518831977,0.06303200000000009
24,10510,500,0.0,0.0,0.0,0.0,1.0,0,0.005223234919638344,0.020000000000000018
25,11010,500,0.0,0.0,0.0,0.0,1.0,0,0.00430169356181068,0.020000000000000018
26,11158,148,-5.0,-5.0,0.0,1.0,0.0,0,0.004660322618796321,0.020000000000000018
27,11378,220,0.0,0.0,1.0,1.0,0.0,0,0.004985974342087667,0.020000000000000018
28,11878,500,0.0,0.0,0.0,0.0,1.0,0,0.005734179496350407,0.020000000000000018
29,12378,500,5.0,5.0,1.0,0.0,1.0,0,0.005261496588267619,0.020000000000000018
30,12878,500,0.0,0.0,0.0,0.0,1.0,0,0.00402892376539603,0.020000000000000018
31,13378,500,0.0,0.0,0.0,0.0,1.0,0,0.005486039199993684,0.020000000000000018
32,13878,500,0.0,0.0,0.0,0.0,1.0,0,0.005747969706684671,0.020000000000000018
33,14378,500,0.0,0.0,0.0,0.0,1.0,0,0.004673122365224117,0.020000000000000018
34,14878,500,5.0,5.0,1.0,0.0,1.0,0,0.004446755635493901,0.020000000000000018
35,15000,122,0.0,0.0,0.0,0.0,0.0,1,0.004477912429466101,0.020000000000000018
